Cayenne_jgroups	1	
Cayenne_jms	1	
Cayenne_xmpp	1	
Dosgi_common	2	
Doxia_module_apt	2	
Flume_ngcore	2	
Functor	2	
Geometry_core	2	
Hbase_common	1	
Httpcomponents_core_h2	1	
Incubator_tamaya_api	2	
JXR	1	
Jackrabbit_filevault_vault_core	1	
James_project_core	2	
James_project_mailet_standard	1	
James_project_server_container_core	1	
Jena_core	1	
Johnzon_jaxrs	1	
Johnzon_jsonschema	2	
Karaf_main	1	
Knox_assertion_common	1	
MDeploy	1	
MGpg	1	
Maven2_artifact	2	
Maven2_project	2	
Maven_checkstyle_plugin	1	
MetaModel_csv	1	
MetaModel_excel	1	
MetaModel_pojo	1	
MetaModel_salesforce	1	
Minaftp_api	1	
Mrunit	2	
Mshared_archiver	1	
Nifi_mock	2	
Numbers_angle	2	
Oak_commons	1	
Oozie_client	2	
Rat_core	1	
Rat_plugin	1	
Rave_commons	1	
Rave_core	2	
Rave_web	1	
Sentry_ccommon	2	
Shindig_common	1	
Sling_validation	1	
Storm_client	2	
Struts1_core	2	
Tez_common	1	
Tika_app	2	
Tiles_api	2	
Tinkerpop_gremlin_core	1	
Twill_dcore	1	
Webbeans_web	1	
Wicket_cdi	1	
Wicket_spring	1	
Xbean_naming	1	
Xbean_reflect	1	
